scenario_name,timestamp,승률,매우경미(아),경미(아),중간(아),심각(아),매우심각(아),매우경미(적),경미(적),중간(적),심각(적),매우심각(적)
lure_220725_002,0,0.35249197,0.69353366,0.07944334,0.05245664,0.10936604,0.0652003,0.09545897,0.18118295,0.28443673,0.257872,0.18104938
lure_220725_002,1,0.3528969,0.6925529,0.07981277,0.052657157,0.10948504,0.065492205,0.095709994,0.1813591,0.2844244,0.25748473,0.18102175
lure_220725_002,2,0.3531384,0.6919917,0.08002068,0.052778795,0.10955415,0.06565475,0.095866755,0.18146852,0.28441745,0.25724384,0.18100344
lure_220725_002,3,0.35328338,0.691656,0.080142796,0.052854225,0.10959729,0.06574961,0.09596612,0.1815378,0.28441292,0.25709128,0.1809918
lure_220725_002,4,0.3533715,0.69157416,0.08014186,0.0528989,0.10964113,0.06574401,0.096016385,0.18156983,0.28441894,0.25701752,0.18097734
lure_220725_002,5,0.35339126,0.6914969,0.08014147,0.05293211,0.10968763,0.06574186,0.09602606,0.18157662,0.28441837,0.25700265,0.18097635
lure_220725_002,6,0.35333398,0.69134706,0.08019867,0.052952908,0.10971126,0.06579005,0.09601143,0.18156606,0.28441995,0.25702548,0.18097708
lure_220725_002,7,0.35334814,0.6913627,0.0801786,0.052950405,0.10973259,0.06577573,0.09600751,0.18156162,0.2844249,0.2570334,0.18097256
lure_220725_002,8,0.3533776,0.691402,0.08016065,0.052941747,0.10973348,0.0657621,0.0960263,0.18157487,0.28442365,0.2570044,0.18097076
lure_220725_002,9,0.35337254,0.6913287,0.08015191,0.052965164,0.10979725,0.06575702,0.09605602,0.18159594,0.28442124,0.25695843,0.18096842
lure_220725_002,10,0.35349247,0.6914179,0.080098495,0.052979615,0.10979701,0.065707,0.09601695,0.1815649,0.28443363,0.2570225,0.180962
lure_220725_002,11,0.35352492,0.6912892,0.08015674,0.05297195,0.109819695,0.06576247,0.09605722,0.18159187,0.28443468,0.25696194,0.18095425
lure_220725_002,12,0.35373375,0.6913603,0.08009544,0.05299456,0.10984307,0.06570663,0.09614539,0.18165995,0.28441206,0.25681952,0.18096308
lure_220725_002,13,0.35355595,0.69131815,0.08016477,0.052928723,0.1098102,0.06577817,0.09613785,0.18165286,0.2844175,0.25683305,0.18095873
lure_220725_002,14,0.353424,0.6913559,0.080111995,0.052913506,0.10987509,0.065743506,0.096147805,0.18165661,0.28442582,0.25682133,0.18094844
lure_220725_002,15,0.35338223,0.69185024,0.079875596,0.052875947,0.10985529,0.06554293,0.09603038,0.18158454,0.28440455,0.25699058,0.18098994
lure_220725_002,16,0.353323,0.6919662,0.079837106,0.052826945,0.10984993,0.06551977,0.09594023,0.18152536,0.28439865,0.25712487,0.1810109
lure_220725_002,17,0.35333097,0.69195443,0.07988639,0.05280117,0.10979591,0.065562084,0.09589679,0.18149567,0.28439897,0.25719088,0.1810177
lure_220725_002,18,0.35329947,0.6921754,0.07979255,0.052797012,0.10975868,0.06547639,0.09583867,0.18145317,0.28440696,0.25728226,0.18101893
lure_220725_002,19,0.35320306,0.6922154,0.07976454,0.05277979,0.10978164,0.065458626,0.09583002,0.18144596,0.28441063,0.2572969,0.18101653
lure_220725_002,20,0.35312966,0.69234484,0.07971755,0.05276624,0.10975412,0.065417245,0.09580513,0.18142805,0.28441316,0.2573357,0.18101794
lure_220725_002,21,0.35310254,0.69243217,0.07964665,0.052765813,0.10979496,0.0653604,0.09578122,0.18141358,0.28440815,0.25737002,0.18102705
lure_220725_002,22,0.35317293,0.69234693,0.07967289,0.05277636,0.109819815,0.06538398,0.09577657,0.18140845,0.28441352,0.25737917,0.18102224
lure_220725_002,23,0.3531833,0.69239753,0.07963948,0.052779038,0.10982869,0.06535525,0.0957794,0.1814104,0.28441352,0.2573749,0.18102176
lure_220725_002,24,0.35319284,0.6924151,0.07964256,0.052774668,0.10981085,0.06535676,0.09577616,0.18141252,0.2844016,0.2573751,0.18103468
lure_220725_002,25,0.35321385,0.69244874,0.07961923,0.05277226,0.10982151,0.065338194,0.095772,0.18141003,0.28440058,0.257381,0.1810364
lure_220725_002,26,0.35320246,0.6924629,0.07961801,0.052771743,0.10981132,0.065336,0.09575939,0.18140107,0.2844015,0.2574005,0.18103749
lure_220725_002,27,0.35319653,0.69241023,0.07963864,0.052766353,0.10982753,0.065357246,0.09574669,0.1813942,0.28439662,0.25741786,0.18104465
lure_220725_002,28,0.35322437,0.69245493,0.07962616,0.052778468,0.10980029,0.06534024,0.09574983,0.18139616,0.28439716,0.2574133,0.18104362
lure_220725_002,29,0.3532164,0.6924227,0.0796629,0.052757766,0.10978189,0.065374814,0.09573264,0.18138653,0.28439122,0.2574371,0.1810525
lure_220725_002,30,0.35313016,0.69248635,0.07965556,0.052739136,0.109750174,0.065368734,0.09572275,0.18137982,0.28439116,0.25745207,0.18105415
lure_220725_002,31,0.35308224,0.6926121,0.079614535,0.052709404,0.10972717,0.06533681,0.09568044,0.181349,0.28439656,0.25751856,0.18105546
lure_220725_002,32,0.35308358,0.6926477,0.0796216,0.05269837,0.10969127,0.06534108,0.09567514,0.18134384,0.2844008,0.25752833,0.18105191
lure_220725_002,33,0.35306847,0.69271964,0.079592735,0.05268821,0.10968241,0.065317065,0.09565681,0.18133117,0.28440118,0.25755635,0.1810545
lure_220725_002,34,0.35316768,0.6926173,0.079597406,0.05272272,0.109741956,0.065320626,0.095675446,0.18134484,0.2843986,0.257527,0.18105413
lure_220725_002,35,0.35318318,0.69249976,0.07963464,0.052732136,0.10977807,0.06535546,0.095675305,0.18134795,0.2843897,0.25752363,0.1810634
lure_220725_002,36,0.35315,0.6924604,0.07965561,0.052722353,0.10978478,0.06537685,0.09564909,0.18132772,0.28439614,0.2575661,0.18106088
lure_220725_002,37,0.35309345,0.69245255,0.07965617,0.05271254,0.109797515,0.06538114,0.095630854,0.1813125,0.2844038,0.25759688,0.181056
lure_220725_002,38,0.35306767,0.69247043,0.07966303,0.05270653,0.109774426,0.06538568,0.09562608,0.1813118,0.28439668,0.25760138,0.18106405
lure_220725_002,39,0.3531292,0.69240427,0.0796921,0.052716825,0.10977769,0.06540915,0.095633775,0.18131712,0.28439653,0.25758955,0.18106301
lure_220725_002,40,0.35321045,0.692377,0.07969696,0.052742664,0.10977604,0.0654073,0.09565253,0.18132667,0.28440544,0.25756463,0.18105073
