Time,EntityID,EntityType,Force,Location_y,Location_z,Health
0.0,1:3001:45,3,Friendly, -30.564400, 99.476100,No Injury
1.0,1:3001:45,3,Friendly, -30.564400, 99.476100,No Injury
2.0,1:3001:45,3,Friendly, -30.564400, 99.476100,No Injury
3.0,1:3001:45,3,Friendly, -30.564400, 99.476100,No Injury
4.0,1:3001:45,3,Friendly, -30.564400, 99.476100,No Injury
5.0,1:3001:45,3,Friendly, -30.564400, 99.476100,No Injury
6.0,1:3001:45,3,Friendly, -30.564400, 99.476100,No Injury
7.0,1:3001:45,3,Friendly, -30.564400, 99.476100,No Injury
8.0,1:3001:45,3,Friendly, -30.564400, 99.476100,No Injury
9.0,1:3001:45,3,Friendly, -30.564400, 99.476100,No Injury
10.0,1:3001:45,3,Friendly, -30.564400, 99.476100,No Injury
11.0,1:3001:45,3,Friendly, -30.564400, 99.476100,No Injury
12.0,1:3001:45,3,Friendly, -30.564400, 99.476100,No Injury
13.0,1:3001:45,3,Friendly, -30.564400, 99.476100,No Injury
14.0,1:3001:45,3,Friendly, -30.564400, 99.476100,No Injury
15.0,1:3001:45,3,Friendly, -30.564400, 99.476100,No Injury
16.0,1:3001:45,3,Friendly, -30.564400, 99.476100,No Injury
17.0,1:3001:45,3,Friendly, -30.564400, 99.476100,No Injury
18.0,1:3001:45,3,Friendly, -30.564400, 99.476100,No Injury
19.0,1:3001:45,3,Friendly, -30.564400, 99.476100,No Injury
20.0,1:3001:45,3,Friendly, -30.564400, 99.476100,No Injury
21.0,1:3001:45,3,Friendly, -30.564400, 99.476100,No Injury
22.0,1:3001:45,3,Friendly, -30.564400, 99.476100,No Injury
23.0,1:3001:45,3,Friendly, -30.564400, 99.476100,No Injury
24.0,1:3001:45,3,Friendly, -30.564400, 99.476100,No Injury
25.0,1:3001:45,3,Friendly, -30.564400, 99.476100,No Injury
26.0,1:3001:45,3,Friendly, -30.564400, 99.476100,No Injury
27.0,1:3001:45,3,Friendly, -36.317240, 82.999490,No Injury
28.0,1:3001:45,3,Friendly, -34.485900, 88.244600,No Injury
29.0,1:3001:45,3,Friendly, -40.114442, 77.199118,No Injury
30.0,1:3001:45,3,Friendly, -16.834791, 122.883230,No Injury
31.0,1:3001:45,3,Friendly, -113.119429, -66.066257,No Injury
32.0,1:3001:45,3,Friendly, 285.113834, 715.428821,No Injury
33.0,1:3001:45,3,Friendly, -35.581800, 86.094000,No Injury
34.0,1:3001:45,3,Friendly, 42.015398, 73.521889,No Injury
35.0,1:3001:45,3,Friendly, -287.074318, 126.840211,No Injury
36.0,1:3001:45,3,Friendly, 1108.595167, -99.282792,No Injury
37.0,1:3001:45,3,Friendly, -4810.439119, 859.704864,No Injury
38.0,1:3001:45,3,Friendly, -20.776000, 83.695200,No Injury
39.0,1:3001:45,3,Friendly, -16.531700, 82.910700,No Injury
40.0,1:3001:45,3,Friendly, -8.447563, 78.641109,No Injury
41.0,1:3001:45,3,Friendly, -11.992600, 80.513400,No Injury
42.0,1:3001:45,3,Friendly, -5.650110, 70.184291,No Injury
43.0,1:3001:45,3,Friendly, -8.807020, 75.325500,No Injury
44.0,1:3001:45,3,Friendly, 32.065143, 4.962587,No Injury
45.0,1:3001:45,3,Friendly, -141.191957, 303.230977,No Injury
46.0,1:3001:45,3,Friendly, 593.244891, -961.128728,No Injury
47.0,1:3001:45,3,Friendly, -2520.032906, 4398.492060,No Injury
48.0,1:3001:45,3,Friendly, -1.005500, 61.894900,No Injury
49.0,1:3001:45,3,Friendly, 39.033832, -7.245932,No Injury
50.0,1:3001:45,3,Friendly, -126.568844, 278.720549,No Injury
51.0,1:3001:45,3,Friendly, 558.363821, -904.036817,No Injury
52.0,1:3001:45,3,Friendly, -2274.517679, 3987.847649,No Injury
53.0,1:3001:45,3,Friendly, 9442.280206, -16244.986502,No Injury
54.0,1:3001:45,3,Friendly, 6.790320, 48.432900,No Injury
55.0,1:3001:45,3,Friendly, 8.354590, 45.731000,No Injury
56.0,1:3001:45,3,Friendly, 8.354590, 45.731000,No Injury
57.0,1:3001:45,3,Friendly, 8.354590, 45.731000,No Injury
58.0,1:3001:45,3,Friendly, 8.354590, 45.731000,No Injury
59.0,1:3001:45,3,Friendly, 8.354590, 45.731000,No Injury
60.0,1:3001:45,3,Friendly, 8.354590, 45.731000,No Injury
61.0,1:3001:45,3,Friendly, 8.354590, 45.731000,No Injury
62.0,1:3001:45,3,Friendly, 8.354590, 45.731000,No Injury
63.0,1:3001:45,3,Friendly, 8.354590, 45.731000,No Injury
64.0,1:3001:45,3,Friendly, 8.354590, 45.731000,No Injury
65.0,1:3001:45,3,Friendly, 8.354590, 45.731000,No Injury
66.0,1:3001:45,3,Friendly, 8.354590, 45.731000,No Injury
67.0,1:3001:45,3,Friendly, 8.354590, 45.731000,No Injury
68.0,1:3001:45,3,Friendly, 8.354590, 45.731000,No Injury
69.0,1:3001:45,3,Friendly, 8.354590, 45.731000,No Injury
70.0,1:3001:45,3,Friendly, 8.354590, 45.731000,No Injury
71.0,1:3001:45,3,Friendly, 8.354590, 45.731000,No Injury
72.0,1:3001:45,3,Friendly, 8.354590, 45.731000,No Injury
73.0,1:3001:45,3,Friendly, 8.354590, 45.731000,No Injury
74.0,1:3001:45,3,Friendly, 8.354590, 45.731000,No Injury
75.0,1:3001:45,3,Friendly, 8.354590, 45.731000,No Injury
76.0,1:3001:45,3,Friendly, 8.354590, 45.731000,No Injury
77.0,1:3001:45,3,Friendly, 8.354590, 45.731000,No Injury
78.0,1:3001:45,3,Friendly, 8.354590, 45.731000,No Injury
79.0,1:3001:45,3,Friendly, 8.354590, 45.731000,No Injury
80.0,1:3001:45,3,Friendly, 8.354590, 45.731000,No Injury
81.0,1:3001:45,3,Friendly, 8.354590, 45.731000,No Injury
82.0,1:3001:45,3,Friendly, 8.354590, 45.731000,No Injury
83.0,1:3001:45,3,Friendly, 8.354590, 45.731000,No Injury
84.0,1:3001:45,3,Friendly, 8.354590, 45.731000,No Injury
85.0,1:3001:45,3,Friendly, 8.354590, 45.731000,No Injury
86.0,1:3001:45,3,Friendly, 8.354590, 45.731000,No Injury
87.0,1:3001:45,3,Friendly, 8.354590, 45.731000,No Injury
88.0,1:3001:45,3,Friendly, 8.354590, 45.731000,No Injury
89.0,1:3001:45,3,Friendly, 8.354590, 45.731000,No Injury
90.0,1:3001:45,3,Friendly, 8.354590, 45.731000,No Injury
91.0,1:3001:45,3,Friendly, 8.354590, 45.731000,No Injury
92.0,1:3001:45,3,Friendly, 8.354590, 45.731000,No Injury
93.0,1:3001:45,3,Friendly, 8.354590, 45.731000,No Injury
94.0,1:3001:45,3,Friendly, 8.354590, 45.731000,No Injury
95.0,1:3001:45,3,Friendly, 8.354590, 45.731000,No Injury
96.0,1:3001:45,3,Friendly, 8.354590, 45.731000,No Injury
97.0,1:3001:45,3,Friendly, 8.354590, 45.731000,No Injury
98.0,1:3001:45,3,Friendly, 8.354590, 45.731000,No Injury
99.0,1:3001:45,3,Friendly, 8.354590, 45.731000,No Injury
100.0,1:3001:45,3,Friendly, 8.354590, 45.731000,No Injury
101.0,1:3001:45,3,Friendly, 8.354590, 45.731000,No Injury
102.0,1:3001:45,3,Friendly, 8.354590, 45.731000,No Injury
103.0,1:3001:45,3,Friendly, 8.354590, 45.731000,No Injury
104.0,1:3001:45,3,Friendly, 8.354590, 45.731000,No Injury
105.0,1:3001:45,3,Friendly, 8.354590, 45.731000,No Injury
106.0,1:3001:45,3,Friendly, 8.354590, 45.731000,No Injury
107.0,1:3001:45,3,Friendly, 8.354590, 45.731000,No Injury
108.0,1:3001:45,3,Friendly, 8.354590, 45.731000,No Injury
109.0,1:3001:45,3,Friendly, 8.354590, 45.731000,No Injury
110.0,1:3001:45,3,Friendly, 8.354590, 45.731000,No Injury
